section,camera_id,key,value,note
meta,,exported_at,2026-04-23T02:05:59.172Z,
meta,,selected_tab,camera 0,
meta,,window_note,Rolling ~60s buffers per stream,
summary,camera 0,health,Latency p95 is high. Inspect network path or server load.,
summary,camera 0,fps.n,13,
summary,camera 0,fps.last,1.068376614158579,
summary,camera 0,fps.avg,1.1602666542250222,
summary,camera 0,fps.min,0,
summary,camera 0,fps.max,2.0427634238402534,
summary,camera 0,fps.p95,1.5151148300833133,
summary,camera 0,latency_ms.n,13,
summary,camera 0,latency_ms.last,897,
summary,camera 0,latency_ms.avg,780.6923076923077,
summary,camera 0,latency_ms.min,689,
summary,camera 0,latency_ms.max,897,
summary,camera 0,latency_ms.p95,890,
summary,camera 0,detections.n,13,
summary,camera 0,detections.last,30,
summary,camera 0,detections.avg,30.076923076923077,
summary,camera 0,detections.max,33,
summary,camera 0,detections.sum,391,
summary,camera 0,detections.events_in_window,13,
summary,camera 0,detections.events_per_min,65,
summary,camera 0,personnel.n,13,
summary,camera 0,personnel.last,1,
summary,camera 0,personnel.avg,1,
summary,camera 0,personnel.max,2,
class_mix,camera 0,car,24,80%
class_mix,camera 0,bus,4,13%
class_mix,camera 0,person,1,3%
class_mix,camera 0,truck,1,3%
fleet_snapshot,camera 0,rollup,,avg_fps:1.1602666542250222;avg_latency_ms:780.6923076923077;events:13;peak:33
fps_sample,camera 0,1776909946729,0,
fps_sample,camera 0,1776909947701,2.0427634238402534,
fps_sample,camera 0,1776909948733,1.5151148300833133,
fps_sample,camera 0,1776909949689,1.343069400418534,
fps_sample,camera 0,1776909950694,1.256348984977144,
fps_sample,camera 0,1776909951694,1.2048226756815954,
fps_sample,camera 0,1776909952691,1.1703090850148115,
fps_sample,camera 0,1776909953787,1.1318310134705518,
fps_sample,camera 0,1776909954875,1.1027198509949203,
fps_sample,camera 0,1776909955881,1.0913314751687004,
fps_sample,camera 0,1776909956890,1.082120353721273,
fps_sample,camera 0,1776909957890,1.0746587973956145,
fps_sample,camera 0,1776909958897,1.068376614158579,
latency_sample,camera 0,1776909946729,728,
latency_sample,camera 0,1776909947701,701,
latency_sample,camera 0,1776909948733,733,
latency_sample,camera 0,1776909949689,689,
latency_sample,camera 0,1776909950694,694,
latency_sample,camera 0,1776909951694,694,
latency_sample,camera 0,1776909952691,691,
latency_sample,camera 0,1776909953787,787,
latency_sample,camera 0,1776909954875,874,
latency_sample,camera 0,1776909955881,881,
latency_sample,camera 0,1776909956890,890,
latency_sample,camera 0,1776909957890,890,
latency_sample,camera 0,1776909958897,897,
detection_sample,camera 0,2026-04-22 20:05:46,27,
detection_sample,camera 0,2026-04-22 20:05:47,27,
detection_sample,camera 0,2026-04-22 20:05:48,28,
detection_sample,camera 0,2026-04-22 20:05:49,33,
detection_sample,camera 0,2026-04-22 20:05:50,32,
detection_sample,camera 0,2026-04-22 20:05:51,33,
detection_sample,camera 0,2026-04-22 20:05:52,32,
detection_sample,camera 0,2026-04-22 20:05:53,31,
detection_sample,camera 0,2026-04-22 20:05:54,29,
detection_sample,camera 0,2026-04-22 20:05:55,31,
detection_sample,camera 0,2026-04-22 20:05:56,29,
detection_sample,camera 0,2026-04-22 20:05:57,29,
detection_sample,camera 0,2026-04-22 20:05:58,30,
person_count_sample,camera 0,1776909946729,0,
person_count_sample,camera 0,1776909947701,0,
person_count_sample,camera 0,1776909948733,0,
person_count_sample,camera 0,1776909949689,1,
person_count_sample,camera 0,1776909950694,1,
person_count_sample,camera 0,1776909951694,1,
person_count_sample,camera 0,1776909952691,2,
person_count_sample,camera 0,1776909953787,1,
person_count_sample,camera 0,1776909954875,1,
person_count_sample,camera 0,1776909955881,2,
person_count_sample,camera 0,1776909956890,1,
person_count_sample,camera 0,1776909957890,2,
person_count_sample,camera 0,1776909958897,1,
category_counts_snapshot,camera 0,bus,4,
category_counts_snapshot,camera 0,car,24,
category_counts_snapshot,camera 0,person,1,
category_counts_snapshot,camera 0,truck,1,
fleet_snapshot,camera 1,rollup,,avg_fps:1.1152288823010774;avg_latency_ms:779.4166666666666;events:12;peak:27
fps_sample,camera 1,1776909946947,0,
fps_sample,camera 1,1776909947923,2.009000089569811,
fps_sample,camera 1,1776909949022,1.4335800502776206,
fps_sample,camera 1,1776909950009,1.2930024321419449,
fps_sample,camera 1,1776909951011,1.2211043712950291,
fps_sample,camera 1,1776909952008,1.1775939265938233,
fps_sample,camera 1,1776909953572,1.0553131948152144,
fps_sample,camera 1,1776909954569,1.0479494572182657,
fps_sample,camera 1,1776909955574,1.0423408041711817,
fps_sample,camera 1,1776909956573,1.0377154516828908,
fps_sample,camera 1,1776909957570,1.0341270360351933,
fps_sample,camera 1,1776909958575,1.0310197738119515,
latency_sample,camera 1,1776909946947,947,
latency_sample,camera 1,1776909947923,923,
latency_sample,camera 1,1776909949022,1022,
latency_sample,camera 1,1776909950009,1009,
latency_sample,camera 1,1776909951011,1011,
latency_sample,camera 1,1776909952008,1008,
latency_sample,camera 1,1776909953572,572,
latency_sample,camera 1,1776909954569,569,
latency_sample,camera 1,1776909955574,574,
latency_sample,camera 1,1776909956573,573,
latency_sample,camera 1,1776909957570,570,
latency_sample,camera 1,1776909958575,575,
detection_sample,camera 1,2026-04-22 20:05:46,22,
detection_sample,camera 1,2026-04-22 20:05:47,23,
detection_sample,camera 1,2026-04-22 20:05:48,20,
detection_sample,camera 1,2026-04-22 20:05:49,19,
detection_sample,camera 1,2026-04-22 20:05:50,20,
detection_sample,camera 1,2026-04-22 20:05:51,19,
detection_sample,camera 1,2026-04-22 20:05:53,21,
detection_sample,camera 1,2026-04-22 20:05:54,27,
detection_sample,camera 1,2026-04-22 20:05:55,22,
detection_sample,camera 1,2026-04-22 20:05:56,23,
detection_sample,camera 1,2026-04-22 20:05:57,23,
detection_sample,camera 1,2026-04-22 20:05:58,21,
person_count_sample,camera 1,1776909946947,20,
person_count_sample,camera 1,1776909947923,21,
person_count_sample,camera 1,1776909949022,19,
person_count_sample,camera 1,1776909950009,17,
person_count_sample,camera 1,1776909951011,17,
person_count_sample,camera 1,1776909952008,16,
person_count_sample,camera 1,1776909953572,18,
person_count_sample,camera 1,1776909954569,22,
person_count_sample,camera 1,1776909955574,19,
person_count_sample,camera 1,1776909956573,18,
person_count_sample,camera 1,1776909957570,18,
person_count_sample,camera 1,1776909958575,18,
category_counts_snapshot,camera 1,person,18,
category_counts_snapshot,camera 1,handbag,2,
category_counts_snapshot,camera 1,fire hydrant,1,
metric_line,,0,Eagle Eye: built a multi-stream CCTV analytics UI ingesting 2 concurrent camera buffers.,
metric_line,,1,Peak tracked object load in window: 33 detections in a single logged interval.,
metric_line,,2,Observed end-to-end frame latency p95 up to 1022 ms (client-measured).,
metric_line,,3,Sustained decode / UI throughput: average FPS across slowest stream ~1.1.,
metric_line,,4,Rolling detection log maintained 25 recent samples for trend charts.,
